Ingredient code,Ingredient despcription,Nutrient code,Nutrient description ,Nutrient value
1049,"Cream, fluid, half and half",646,"Fatty acids, total polyunsaturated",0.554
1050,"Cream, fluid, light (coffee cream or table cream)",204,Total Fat,19.1
1050,"Cream, fluid, light (coffee cream or table cream)",601,Cholesterol,59
1050,"Cream, fluid, light (coffee cream or table cream)",606,"Fatty acids, total saturated",10.176
1050,"Cream, fluid, light (coffee cream or table cream)",645,"Fatty acids, total monounsaturated",4.525
1050,"Cream, fluid, light (coffee cream or table cream)",646,"Fatty acids, total polyunsaturated",0.789
1053,"Cream, fluid, heavy whipping",204,Total Fat,36.08
1053,"Cream, fluid, heavy whipping",601,Cholesterol,113
1053,"Cream, fluid, heavy whipping",606,"Fatty acids, total saturated",23.032
1053,"Cream, fluid, heavy whipping",645,"Fatty acids, total monounsaturated",9.101
1053,"Cream, fluid, heavy whipping",646,"Fatty acids, total polyunsaturated",1.57
1054,"Cream, whipped, cream topping, pressurized",204,Total Fat,22.22
1054,"Cream, whipped, cream topping, pressurized",601,Cholesterol,76
1054,"Cream, whipped, cream topping, pressurized",606,"Fatty acids, total saturated",13.831
1054,"Cream, whipped, cream topping, pressurized",645,"Fatty acids, total monounsaturated",6.418
1054,"Cream, whipped, cream topping, pressurized",646,"Fatty acids, total polyunsaturated",0.825
1056,"Cream, sour, cultured",204,Total Fat,19.35
1056,"Cream, sour, cultured",601,Cholesterol,59
1056,"Cream, sour, cultured",606,"Fatty acids, total saturated",10.14
1056,"Cream, sour, cultured",645,"Fatty acids, total monounsaturated",4.594
1056,"Cream, sour, cultured",646,"Fatty acids, total polyunsaturated",0.8
1057,Eggnog,204,Total Fat,4.19
1057,Eggnog,601,Cholesterol,59
1057,Eggnog,606,"Fatty acids, total saturated",2.591
1057,Eggnog,645,"Fatty acids, total monounsaturated",1.302
1057,Eggnog,646,"Fatty acids, total polyunsaturated",0.198
1061,"Cheese, American, nonfat or fat free",204,Total Fat,0
1061,"Cheese, American, nonfat or fat free",601,Cholesterol,26
1061,"Cheese, American, nonfat or fat free",606,"Fatty acids, total saturated",0
1061,"Cheese, American, nonfat or fat free",645,"Fatty acids, total monounsaturated",0
1061,"Cheese, American, nonfat or fat free",646,"Fatty acids, total polyunsaturated",0
1062,"Cheese, American, restaurant",204,Total Fat,31.1
1062,"Cheese, American, restaurant",601,Cholesterol,98
1062,"Cheese, American, restaurant",606,"Fatty acids, total saturated",17.7
1062,"Cheese, American, restaurant",645,"Fatty acids, total monounsaturated",6.62
1062,"Cheese, American, restaurant",646,"Fatty acids, total polyunsaturated",1.23
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",204,Total Fat,9.97
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",601,Cholesterol,0
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",606,"Fatty acids, total saturated",1.937
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",645,"Fatty acids, total monounsaturated",7.551
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",646,"Fatty acids, total polyunsaturated",0.027
1069,"Cream substitute, powdered",204,Total Fat,32.92
1069,"Cream substitute, powdered",601,Cholesterol,0
1069,"Cream substitute, powdered",606,"Fatty acids, total saturated",19.146
1069,"Cream substitute, powdered",645,"Fatty acids, total monounsaturated",9.796
1069,"Cream substitute, powdered",646,"Fatty acids, total polyunsaturated",0.408
1073,"Dessert topping, semi solid, frozen",204,Total Fat,25.31
